Name,construct,parent,OD,GFP,RFP,GFP/OD,RFP/OD
P24_dh5a,pass,pass,1.3401,78,23,58.2046116,17.16289829
P24_dh5a,pass,pass,1.4854,122,26,82.13275885,17.50370271
P24_hns,pass,pass,1.4211,160,30,112.5888396,21.11040743
P24_hns,pass,pass,1.4867,99,37,66.59043519,24.88733436
P24_hns,pass,pass,1.5007,91,42,60.63836876,27.98693943
P24_hns,pass,pass,1.401,116,27,82.79800143,19.27194861
P24_hns,pass,pass,1.4971,113,40,75.4792599,26.71832209
P24_hns,pass,pass,1.4085,99,33,70.28753994,23.42917998
P24_hns,pass,pass,1.4741,95,39,64.44610271,26.45682111
P24_hns,pass,pass,1.5512,112,43,72.20216606,27.72047447
P24_hns,pass,pass,1.5049,107,42,71.10106984,27.90883115
P24_hns,pass,pass,1.4923,102,43,68.35086779,28.81458152
P24_hns,pass,pass,1.3294,87,33,65.44305702,24.82322852
P24_hns,pass,pass,1.4107,84,41,59.54490678,29.06358545
P25_dh5a,pass,pass,1.412,122,3,86.40226629,2.124645892
P25_dh5a,pass,pass,1.3778,152,4,110.3208013,2.903178981
P25_dh5a,pass,pass,1.4776,134,3,90.68760152,2.030319437
P25_dh5a,pass,pass,1.498,126,3,84.11214953,2.002670227
P25_dh5a,pass,pass,1.5303,131,4,85.60412991,2.613866562
P25_dh5a,pass,pass,1.572,142,4,90.3307888,2.544529262
P25_dh5a,pass,pass,1.6186,139,4,85.87668355,2.471271469
P25_dh5a,pass,pass,1.6096,145,4,90.08449304,2.485089463
P25_dh5a,pass,pass,1.6085,132,4,82.06403482,2.486788934
P25_dh5a,pass,pass,1.578,139,4,88.08618504,2.534854246
P25_dh5a,pass,pass,1.5495,132,4,85.18877057,2.581477896
P25_dh5a,pass,pass,1.5354,154,4,100.2995962,2.605184317
P25_hns,pass,pass,1.3668,158,5,115.5984782,3.65817969
P25_hns,pass,pass,1.3475,189,4,140.2597403,2.968460111
P25_hns,pass,pass,1.4061,153,4,108.8116066,2.844747884
P25_hns,pass,pass,1.4527,134,5,92.24203208,3.441866869
P25_hns,pass,pass,1.498,133,5,88.78504673,3.337783712
P25_hns,pass,pass,1.4616,146,6,99.89053093,4.105090312
P25_hns,pass,pass,1.5679,160,6,102.0473244,3.826774667
P25_hns,pass,pass,1.5165,151,5,99.57138147,3.297065612
P25_hns,pass,pass,1.5362,151,6,98.2944929,3.90574144
P25_hns,pass,pass,1.5382,140,8,91.01547263,5.20088415
P25_hns,pass,pass,1.5223,136,7,89.33850095,4.598305196
P25_hns,pass,pass,1.5401,168,7,109.0838257,4.545159405
pass,P1,P1,1.0723,2951,3966,2752.02835,3698.591812
pass,P1,P1,0.9296,2621,2100,2819.492255,2259.036145
pass,P1,P1,1.0154,2798,2588,2755.56431,2548.749261
pass,3H,P1,0.9668,2734,6861,2827.885809,7096.607365
pass,3H,P1,1.1251,2716,11749,2414.007644,10442.62732
pass,3H,P1,1.0916,2696,8978,2469.769146,8224.624405
pass,S8D,P1,0.9769,2626,6804,2688.094994,6964.888934
pass,S8D,P1,1.0172,2602,7374,2558.002359,7249.311836
pass,S8D,P1,1.096,2629,8353,2398.722628,7621.350365
pass,P3,P3,1.0934,2774,776,2537.040424,709.7128224
pass,P3,P3,1.0685,2927,727,2739.354235,680.3930744
pass,P3,P3,1.0614,2295,848,2162.238553,798.9447899
pass,S8H,P3,1.1234,2454,4893,2184.440093,4355.527862
pass,S8H,P3,1.0954,2599,3734,2372.649261,3408.800438
pass,S8H,P3,0.8681,2156,2836,2483.58484,3266.904734
pass,P6,P6,1.0998,2544,5982,2313.147845,5439.170758
pass,P6,P6,1.1803,2502,9661,2119.800051,8185.207151
pass,P6,P6,1.1171,2546,6872,2279.115567,6151.642646
pass,S10E,P6,0.9984,2195,2682,2198.517628,2686.298077
pass,S10E,P6,1.1252,2403,4651,2135.620334,4133.48738
pass,S10E,P6,1.1328,2238,4983,1975.635593,4398.834746
pass,S10F,P6,1.1139,2303,34589,2067.510549,31052.15908
pass,S10F,P6,1.0751,2309,32425,2147.70719,30159.98512
pass,S10F,P6,1.0299,1927,34940,1871.055442,33925.62385
pass,S10G,P6,1.1183,2414,1570,2158.63364,1403.916659
pass,S10G,P6,1.0476,2466,934,2353.95189,891.5616648
pass,S10G,P6,1.01,2464,801,2439.60396,793.0693069
pass,S9B,P6,0.9737,2432,446,2497.689227,458.0466263
pass,S9B,P6,1.1443,2499,789,2183.867867,689.5045006
pass,S9B,P6,0.9996,2569,588,2570.028011,588.2352941
pass,P8,P8,1.0841,3023,7831,2788.488147,7223.503367
pass,P8,P8,0.981,2606,9085,2656.472987,9260.958206
pass,P8,P8,1.0487,2807,10638,2676.647278,10143.98779
pass,S8J,P8,1.1705,2964,18815,2532.251175,16074.32721
pass,S8J,P8,1.1117,2763,11352,2485.382747,10211.38796
pass,S8J,P8,1.0449,2917,7617,2791.654704,7289.692794
pass,S8K,P8,1.0683,3100,25042,2901.806609,23440.981
pass,S8K,P8,1.0291,3045,25034,2958.896123,24326.11019
pass,S8K,P8,1.0864,2783,30114,2561.671576,27719.07216
pass,S8L,P8,1.0753,2854,31517,2654.14303,29309.96001
pass,S8L,P8,1.1876,2918,50132,2457.056248,42212.86628
pass,S8L,P8,1.1373,2783,44025,2447.023653,38710.10288
pass,P9,P9,1.0756,3015,533,2803.086649,495.5373745
pass,P9,P9,1.0584,3094,496,2923.280423,468.6318972
pass,P9,P9,1.0033,3005,497,2995.116117,495.3652945
pass,S8F,P9,1.1694,3218,378,2751.83855,323.2426886
pass,S8F,P9,1.0098,2870,297,2842.14696,294.1176471
pass,S8F,P9,1.013,3061,247,3021.71767,243.8302073
pass,S8B,P9,0.8958,40458,851,45164.09913,949.9888368
pass,S8B,P9,0.6846,15554,510,22719.8364,744.9605609
pass,S8B,P9,0.8486,49148,782,57916.56847,921.517794
pass,P12,P12,1.3113,3738,47233,2850.606269,36019.98017
pass,P12,P12,1.1325,4049,38931,3575.275938,34376.15894
pass,P12,P12,1.1815,4266,41364,3610.66441,35009.73339
pass,S12E,P12,1.2143,4180,21830,3442.312443,17977.43556
pass,S12E,P12,1.0922,3234,17218,2960.996155,15764.51199
pass,S12E,P12,1.1518,2892,14300,2510.852579,12415.34989
pass,S12F,P12,1.0241,3479,19352,3397.129187,18896.59213
